Year,"External Trade, Exports, Goods, Value, Deflator/Unit Value, Free on Board, Index","Prices, Wholesale Price Index, All Items, Index","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate","Gross Domestic Product, Deflator, Index"
1950,1.745663525,2.656797528,4.761900004,2.199717672
1951,2.539146946,2.908193424,4.761900004,2.269618148
1952,2.078926562,2.559667296,4.761900004,2.168463982
1953,1.777402862,2.662511071,4.761900004,2.224539523
1954,1.81562658,2.513958952,4.761900004,2.005781642
1955,1.777402862,2.308271401,4.761900004,1.976015905
1956,1.796514721,2.588235012,4.761900004,2.229330519
1957,1.820404544,2.742500675,4.761900004,2.302958901
1958,1.768562267,2.799636105,4.761900004,2.899907832
1959,1.749306564,2.913906967,4.761900004,2.451227992
1960,1.943344802,3.096740345,4.761900004,2.555916038
1961,1.975931377,3.171016405,4.761900004,2.608581565
1962,1.885577693,3.285287266,4.761900004,2.720195914
1963,1.884096485,3.405271671,4.761900004,2.942525864
1964,1.884096485,3.759511341,4.761900004,3.194575182
1965,1.990743456,4.068042667,4.761900004,3.453859453
1966,2.611369578,4.553693828,6.359125005,3.919066195
1967,3.015739343,5.239318997,7.500000007,4.257558452
1968,2.897242708,5.216464825,7.500000007,4.353854081
1969,3.084081232,5.325022143,7.500000007,4.500912552
1970,3.081590052,5.652598613,7.500000007,5.066363539
1971,3.158816642,5.935895123,7.491935231,5.214762463
1972,3.440320017,6.458208186,7.594468374,5.724994112
1973,3.814267845,7.518546554,7.742038562,6.839044208
1974,4.636953067,9.666838749,8.101603227,8.489432835
1975,5.833586116,10.04536098,8.375891946,8.484426824
1976,6.28232351,9.847767613,8.960412728,8.186844497
1977,6.656271338,10.59243273,8.738576171,8.603535278
1978,7.478956559,10.56910243,8.192840348,8.877966789
1979,7.478956559,11.80037096,8.125790946,9.965473626
1980,8.457453376,14.16720618,7.862944701,11.72156968
1981,8.15206265,15.9012665,8.658522817,12.99073225
1982,9.273906134,16.28788291,9.455131933,14.04244414
1983,9.872222658,17.57200172,10.09889824,15.24347468
1984,12.51478731,18.79316068,11.36258333,16.45125068
1985,12.63943659,19.66541709,12.36875,17.63471834
1986,12.78901572,20.75970239,12.61083333,18.83201
1987,13.38733224,22.20289026,12.9615,20.58863979
1988,17.35117922,24.13771355,13.91708333,22.28360272
1989,20.71670967,25.77385511,16.2255,24.1636277
1990,21.91334272,28.10251538,17.5035,26.74138692
1991,27.67213927,31.89418753,22.74243333,30.41884713
1992,31.56119668,35.67793008,25.91808333,33.14592331
1993,35.45025409,38.34531659,30.49329167,36.41483183
1994,37.02083497,42.38769638,31.3737425,40.04906468
1995,36.21310766,46.34721181,32.42707667,43.67852962
1996,37.74629375,48.4213579,35.43317333,46.98710244
1997,44.08096996,50.61430184,36.31328583,50.03018086
1998,45.74877727,53.59066937,41.259365,54.0377113
1999,45.17289762,55.44006279,43.05542833,55.89238268
2000,46.66868893,59.07142382,44.941605,57.85498739
2001,46.21995154,61.91936126,47.18641417,59.64685198
2002,46.36953067,63.48299771,48.61031917,61.80154823
2003,50.25858808,66.9217136,46.58328417,64.14220673
2004,54.74596201,71.32365523,45.31646667,67.86111566
2005,59.36421769,74.69173456,44.099975,70.73641489
2006,69.62908557,78.23319453,45.30700833,75.27941395
2007,73.15460889,82.05234979,41.34853333,79.61265567
2008,85.2735953,89.17311124,43.50518333,86.51082997
2009,86.37532134,91.27305175,48.40526667,91.7567268
2010,100,100,45.72581212,100
2011,121.4469335,109.4705532,46.67046667,105.2461854
2012,133.6026441,117.733492,53.43723333,113.596749
2013,147.5945648,124.772416,58.59784542,120.6244768
2014,150.0918105,128.9564572,61.02951446,124.3052999
2015,146.8600808,123.9393518,64.15194446,126.5251312
2016,164.4509732,123.8738299,67.19531281,131.0949321
2017,167.4623577,128.0765917,65.12156865,135.6798878
